title,artist,link
Lewis Landscape (1983),Ann C. Campbell Lewis Landscape ,https://collections.ed.ac.uk/art/record/123111?highlight=*:*
Multiple Studies of a Woman in a Long Dress and Bonnet (1956),Jacqueline A N Stieger Multiple Studies of a Woman in a Long Dress and Bonnet ,https://collections.ed.ac.uk/art/record/20820?highlight=*:*
24 Composition,Christopher Nugent ,https://collections.ed.ac.uk/art/record/21527?highlight=*:*
etc (2006),Catherine Robbie etc ,https://collections.ed.ac.uk/art/record/99865?highlight=*:*
Unknown (1963),Janette Brown Unknown ,https://collections.ed.ac.uk/art/record/50396?highlight=*:*
Unknown (1974),Ian Robertson Unknown ,https://collections.ed.ac.uk/art/record/50390?highlight=*:*
Racing Circuit (1987-1988),Jane V Hyslop Racing Circuit ,https://collections.ed.ac.uk/art/record/21456?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),Riders from the West Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20674?highlight=*:*
Portrait of a Woman (1964),Carole V Danielson Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21346?highlight=*:*
Self Portrait at an Easel (Circa 1961),Ann F Ward Self Portrait at an Easel ,https://collections.ed.ac.uk/art/record/122816?highlight=*:*
Small Portrait of a Woman in Brown,Polly A. Lister Small Portrait of a Woman in Brown,https://collections.ed.ac.uk/art/record/22672?highlight=*:*
Untitled - Abstract Portrait of King (1961),John Mitchell Untitled - Abstract Portrait of King ,https://collections.ed.ac.uk/art/record/99366?highlight=*:*
Male Nude Leaning on a Table (verso),Unknown Male Nude Leaning on a Table ,https://collections.ed.ac.uk/art/record/22650?highlight=*:*
Standing Female Nude (1957),Ruth Illingworth Standing Female Nude ,https://collections.ed.ac.uk/art/record/20934?highlight=*:*
Dying Adonis (Pre 1837),Clement Pappi Dying Adonis ,https://collections.ed.ac.uk/art/record/20596?highlight=*:*
Sienna Cathedral (1982),Ann Oram Sienna Cathedral ,https://collections.ed.ac.uk/art/record/102660?highlight=*:*
Unknown (1950),Zygmunt Bukowski Unknown ,https://collections.ed.ac.uk/art/record/53557?highlight=*:*
Male Figure (1958),David Rifat Male Figure ,https://collections.ed.ac.uk/art/record/122731?highlight=*:*
Plate,Emma Gillies Plate,https://collections.ed.ac.uk/art/record/53714?highlight=*:*
Unknown (1953-1954),Lawrence F. Baxter Unknown ,https://collections.ed.ac.uk/art/record/50616?highlight=*:*
Sgraffito Wares I (Circa 1994),Lisa Ward Sgraffito Wares I ,https://collections.ed.ac.uk/art/record/122792?highlight=*:*
Portrait of a Seated Figure (1958),Alan Alexander Portrait of a Seated Figure ,https://collections.ed.ac.uk/art/record/21164?highlight=*:*
Self Portrait,Vivien Alexander Self Portrait,https://collections.ed.ac.uk/art/record/122918?highlight=*:*
Untitled (1977),Eve F. Thomson Untitled ,https://collections.ed.ac.uk/art/record/99826?highlight=*:*
Unknown,Alexander Cree Unknown,https://collections.ed.ac.uk/art/record/50549?highlight=*:*
Untitled (MAR 1997),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21919?highlight=*:*
Untitled - Still Life With Flowers (1961-1962),Gwendolene E Roger Untitled - Still Life With Flowers ,https://collections.ed.ac.uk/art/record/99400?highlight=*:*
Portrait of a Young Woman (1958),Richard McNeill Portrait of a Young Woman ,https://collections.ed.ac.uk/art/record/20890?highlight=*:*
Man in Night Street Scene (1987),Martin Kane Man in Night Street Scene ,https://collections.ed.ac.uk/art/record/122754?highlight=*:*
Art Magazine Ads (1988-1989),Jeff Koons Art Magazine Ads ,https://collections.ed.ac.uk/art/record/21365?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21895?highlight=*:*
Portrait of a Woman (1958),Irene M. Fotheringham Portrait of a Woman ,https://collections.ed.ac.uk/art/record/22688?highlight=*:*
Unknown,Unknown Unknown,https://collections.ed.ac.uk/art/record/50407?highlight=*:*
Portrait of a Man (1954),Elizabeth Blackadder Portrait of a Man ,https://collections.ed.ac.uk/art/record/21405?highlight=*:*
Unknown (1947),Eric Forrest Unknown ,https://collections.ed.ac.uk/art/record/50587?highlight=*:*
Unknown (1954),D. Gordon Campbell Unknown ,https://collections.ed.ac.uk/art/record/50634?highlight=*:*
"Seated Fate, east pediment of the Parthenon",Seated Fate,https://collections.ed.ac.uk/art/record/20637?highlight=*:*
Nude Study Female,Robert J. Brough Nude Study Female,https://collections.ed.ac.uk/art/record/122855?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21557?highlight=*:*
Saucer,Emma Gillies Saucer,https://collections.ed.ac.uk/art/record/53661?highlight=*:*
Unknown,Alexander Cree Unknown,https://collections.ed.ac.uk/art/record/50547?highlight=*:*
Via D' Italia (Unknown),John Brown Via D' Italia ,https://collections.ed.ac.uk/art/record/21673?highlight=*:*
Portrait of a Man (1968),Donald C S Shaw Portrait of a Man ,https://collections.ed.ac.uk/art/record/21403?highlight=*:*
Reclining Female Nude with Skeleton,Unknown Reclining Female Nude with Skeleton,https://collections.ed.ac.uk/art/record/122803?highlight=*:*
Donkey and Cart in Landscape (Circa 1955),Mollie E N Langlands Donkey and Cart in Landscape ,https://collections.ed.ac.uk/art/record/21017?highlight=*:*
Portrait of James McComb (1950),Thomas Kim Redpath Portrait of James McComb ,https://collections.ed.ac.uk/art/record/122732?highlight=*:*
Unknown (1957),Morag Cuthbertson Unknown ,https://collections.ed.ac.uk/art/record/50507?highlight=*:*
Seated Male Nude reading a Newspaper (1960),Jean Ritchie Seated Male Nude reading a Newspaper ,https://collections.ed.ac.uk/art/record/20791?highlight=*:*
Hand Thrown Pot,Emma Gillies Hand Thrown Pot,https://collections.ed.ac.uk/art/record/53734?highlight=*:*
Seated Figure Reading Newspaper,Angus C. A. Hood Seated Figure Reading Newspaper,https://collections.ed.ac.uk/art/record/22610?highlight=*:*
Unknown (1968),Kenneth R Duffy Unknown ,https://collections.ed.ac.uk/art/record/99514?highlight=*:*
Rabid Dog,Roland Corbin Rabid Dog,https://collections.ed.ac.uk/art/record/122962?highlight=*:*
Portrait of Seated Woman Reading (1953),Roy McCallum Portrait of Seated Woman Reading ,https://collections.ed.ac.uk/art/record/20898?highlight=*:*
Saucer,Emma Gillies Saucer,https://collections.ed.ac.uk/art/record/53624?highlight=*:*
Figure Composition (Circa 1968),Alan T. Johnston Figure Composition ,https://collections.ed.ac.uk/art/record/122691?highlight=*:*
Seated Female Nude (1958),David Rifat Seated Female Nude ,https://collections.ed.ac.uk/art/record/20873?highlight=*:*
Untitled - Abstract Blue and Red Shapes (1989),Joanne Leonie Milne Untitled - Abstract Blue and Red Shapes ,https://collections.ed.ac.uk/art/record/99387?highlight=*:*
Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie Untitled - Portrait of A Woman ,https://collections.ed.ac.uk/art/record/99434?highlight=*:*
Men in a Rugby Changing Room (Circa 1952),Trevor Stubley Men in a Rugby Changing Room ,https://collections.ed.ac.uk/art/record/21412?highlight=*:*
Unknown (1960),Hugh Deans Unknown ,https://collections.ed.ac.uk/art/record/53575?highlight=*:*
Vase,Emma Gillies Vase,https://collections.ed.ac.uk/art/record/53738?highlight=*:*
Graveyard and Church (possibly),John Brown Graveyard and Church ,https://collections.ed.ac.uk/art/record/21525?highlight=*:*
Portrait of a Seated Man (1951),James P W Syme Portrait of a Seated Man ,https://collections.ed.ac.uk/art/record/21370?highlight=*:*
Seated Female Nude (1958),Jean I. Beattie Seated Female Nude ,https://collections.ed.ac.uk/art/record/20921?highlight=*:*
Plate,Emma Gillies Plate,https://collections.ed.ac.uk/art/record/53718?highlight=*:*
Back of Bennachie,Hazel Holmes Back of Bennachie,https://collections.ed.ac.uk/art/record/21623?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker Untitled - Children Playing ,https://collections.ed.ac.uk/art/record/99445?highlight=*:*
Untitled (1964),Carol Handyside Untitled ,https://collections.ed.ac.uk/art/record/99840?highlight=*:*
Jug,Emma Gillies Jug,https://collections.ed.ac.uk/art/record/53722?highlight=*:*
Untitled (1967),Kevin Maguire Untitled ,https://collections.ed.ac.uk/art/record/22027?highlight=*:*
Unknown (1952),Rosemary Bagshaw Unknown ,https://collections.ed.ac.uk/art/record/53515?highlight=*:*
Standing Male Nude (1960s),Alan Dempster Standing Male Nude ,https://collections.ed.ac.uk/art/record/21277?highlight=*:*
